InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
CINV50000,ITEM_129,Product Description ITEM_129,-8,2025-08-01 00:00:00,144.67,10103,United Kingdom
INV50000,ITEM_108,Product Description ITEM_108,13,2025-06-23 00:00:00,36.63,10093,United Kingdom
INV50000,ITEM_132,Product Description ITEM_132,16,2025-02-08 00:00:00,172.97,10015,United Kingdom
INV50001,ITEM_124,Product Description ITEM_124,3,2025-04-29 00:00:00,224.69,10107,Germany
INV50001,ITEM_113,Product Description ITEM_113,19,2025-04-22 00:00:00,186.93,10072,France
INV50001,ITEM_110,Product Description ITEM_110,12,2025-01-24 00:00:00,21.42,10021,Germany
INV50002,ITEM_134,Product Description ITEM_134,16,2025-04-16 00:00:00,224.23,10103,USA
INV50002,ITEM_140,Product Description ITEM_140,11,2025-01-03 00:00:00,199.0,10122,Germany
INV50002,ITEM_113,Product Description ITEM_113,10,2025-02-24 00:00:00,41.68,10075,United Kingdom
INV50003,ITEM_129,Product Description ITEM_129,20,2025-01-16 00:00:00,15.32,10088,United Kingdom
INV50003,ITEM_140,Product Description ITEM_140,4,2025-01-08 00:00:00,140.43,10117,United Kingdom
INV50003,ITEM_103,Product Description ITEM_103,12,2025-01-05 00:00:00,41.12,10100,United Kingdom
INV50004,ITEM_103,Product Description ITEM_103,23,2025-03-13 00:00:00,209.06,10104,United Kingdom
INV50004,ITEM_127,Product Description ITEM_127,2,2025-01-25 00:00:00,91.19,10131,United Kingdom
INV50004,ITEM_107,Product Description ITEM_107,24,2025-03-19 00:00:00,228.44,10150,France
INV50005,ITEM_101,Product Description ITEM_101,22,2025-01-05 00:00:00,142.51,10053,United Kingdom
INV50005,ITEM_140,Product Description ITEM_140,19,2025-01-23 00:00:00,47.71,10002,Germany
INV50005,ITEM_145,Product Description ITEM_145,5,2025-02-16 00:00:00,37.05,10088,France
INV50006,ITEM_121,Product Description ITEM_121,8,2025-04-04 00:00:00,145.18,10038,United Kingdom
INV50006,ITEM_140,Product Description ITEM_140,7,2025-01-24 00:00:00,191.07,10130,United Kingdom
INV50006,ITEM_115,Product Description ITEM_115,14,2025-02-28 00:00:00,195.92,10021,United Kingdom
INV50007,ITEM_128,Product Description ITEM_128,24,2025-05-11 00:00:00,70.75,10058,Germany
INV50007,ITEM_148,Product Description ITEM_148,23,2025-02-27 00:00:00,53.05,10022,Germany
INV50007,ITEM_147,Product Description ITEM_147,3,2025-01-16 00:00:00,6.65,10089,France
INV50008,ITEM_129,Product Description ITEM_129,18,2025-01-02 00:00:00,170.6,10049,United Kingdom
INV50008,ITEM_111,Product Description ITEM_111,16,2025-05-03 00:00:00,21.45,10059,United Kingdom
INV50008,ITEM_134,Product Description ITEM_134,23,2025-01-02 00:00:00,106.64,10015,United Kingdom
INV50009,ITEM_110,Product Description ITEM_110,19,2025-05-05 00:00:00,151.42,10051,Germany
INV50009,ITEM_145,Product Description ITEM_145,19,2025-02-15 00:00:00,234.43,10108,United Kingdom
INV50009,ITEM_149,Product Description ITEM_149,18,2025-06-17 00:00:00,79.67,10055,United Kingdom
INV50010,ITEM_120,Product Description ITEM_120,20,2025-04-07 00:00:00,64.32,10064,United Kingdom
INV50010,ITEM_120,Product Description ITEM_120,16,2026-01-06 00:00:00,164.4,10131,United Kingdom
INV50010,ITEM_104,Product Description ITEM_104,8,2025-01-26 00:00:00,155.76,10051,United Kingdom
INV50011,ITEM_147,Product Description ITEM_147,1,2025-03-29 00:00:00,84.7,10135,United Kingdom
INV50011,ITEM_119,Product Description ITEM_119,17,2025-01-31 00:00:00,232.21,10021,United Kingdom
INV50011,ITEM_136,Product Description ITEM_136,12,2025-02-09 00:00:00,211.6,10073,United Kingdom
INV50012,ITEM_102,Product Description ITEM_102,21,2025-03-01 00:00:00,57.94,10018,Germany
INV50012,ITEM_143,Product Description ITEM_143,11,2025-05-05 00:00:00,61.69,10132,France
INV50012,ITEM_132,Product Description ITEM_132,5,2025-09-06 00:00:00,129.29,10089,United Kingdom
INV50013,ITEM_108,Product Description ITEM_108,12,2025-03-29 00:00:00,193.96,10060,Germany
CINV50013,ITEM_108,Product Description ITEM_108,-17,2025-02-02 00:00:00,13.4,10014,United Kingdom
INV50013,ITEM_103,Product Description ITEM_103,6,2025-02-02 00:00:00,174.1,10009,United Kingdom
INV50014,ITEM_134,Product Description ITEM_134,1,2025-03-22 00:00:00,162.94,10090,France
INV50014,ITEM_116,Product Description ITEM_116,5,2025-01-17 00:00:00,59.79,10053,Germany
INV50014,ITEM_133,Product Description ITEM_133,14,2025-01-08 00:00:00,171.13,10130,France
INV50015,ITEM_123,Product Description ITEM_123,5,2025-01-27 00:00:00,235.2,10084,United Kingdom
INV50015,ITEM_131,Product Description ITEM_131,22,2025-01-21 00:00:00,14.08,10092,United Kingdom
INV50015,ITEM_100,Product Description ITEM_100,24,2025-01-22 00:00:00,81.61,10111,France
INV50016,ITEM_107,Product Description ITEM_107,1,2025-01-16 00:00:00,110.95,10008,United Kingdom
INV50016,ITEM_144,Product Description ITEM_144,18,2025-01-03 00:00:00,225.07,10035,United Kingdom
INV50016,ITEM_122,Product Description ITEM_122,16,2025-01-02 00:00:00,240.66,10081,Germany
INV50017,ITEM_146,Product Description ITEM_146,9,2025-09-21 00:00:00,112.42,10050,France
INV50017,ITEM_139,Product Description ITEM_139,19,2025-02-03 00:00:00,188.13,10104,France
INV50017,ITEM_111,Product Description ITEM_111,22,2025-01-30 00:00:00,134.09,10132,United Kingdom
INV50018,ITEM_111,Product Description ITEM_111,5,2025-03-10 00:00:00,135.6,10002,France
INV50018,ITEM_145,Product Description ITEM_145,2,2025-01-15 00:00:00,71.33,10134,United Kingdom
INV50018,ITEM_146,Product Description ITEM_146,15,2025-06-29 00:00:00,56.2,10054,United Kingdom
INV50019,ITEM_114,Product Description ITEM_114,7,2025-04-03 00:00:00,73.78,10106,United Kingdom
INV50019,ITEM_140,Product Description ITEM_140,4,2025-01-06 00:00:00,140.19,10004,United Kingdom
INV50019,ITEM_118,Product Description ITEM_118,1,2025-02-02 00:00:00,9.72,10054,United Kingdom
INV50020,ITEM_125,Product Description ITEM_125,13,2025-05-07 00:00:00,227.04,10146,United Kingdom
INV50020,ITEM_128,Product Description ITEM_128,20,2025-06-23 00:00:00,41.18,10044,United Kingdom
INV50020,ITEM_121,Product Description ITEM_121,22,2025-02-07 00:00:00,56.97,10014,United Kingdom
INV50021,ITEM_139,Product Description ITEM_139,7,2025-02-27 00:00:00,130.77,10095,United Kingdom
INV50021,ITEM_120,Product Description ITEM_120,15,2025-01-11 00:00:00,178.25,10048,United Kingdom
INV50021,ITEM_137,Product Description ITEM_137,23,2025-10-11 00:00:00,26.19,10015,United Kingdom
INV50022,ITEM_119,Product Description ITEM_119,14,2025-01-16 00:00:00,81.13,10040,Germany
INV50022,ITEM_128,Product Description ITEM_128,23,2025-06-21 00:00:00,242.25,10082,Germany
INV50022,ITEM_103,Product Description ITEM_103,19,2025-03-04 00:00:00,67.43,10111,United Kingdom
INV50023,ITEM_106,Product Description ITEM_106,22,2025-02-26 00:00:00,79.98,10053,France
INV50023,ITEM_127,Product Description ITEM_127,24,2025-02-13 00:00:00,209.53,10024,United Kingdom
INV50023,ITEM_127,Product Description ITEM_127,20,2025-01-16 00:00:00,14.93,10124,United Kingdom
INV50024,ITEM_103,Product Description ITEM_103,24,2025-01-12 00:00:00,117.49,10041,France
INV50024,ITEM_121,Product Description ITEM_121,18,2025-01-15 00:00:00,96.46,10015,United Kingdom
INV50024,ITEM_111,Product Description ITEM_111,10,2025-01-13 00:00:00,80.86,10045,Spain
INV50025,ITEM_144,Product Description ITEM_144,9,2025-04-01 00:00:00,73.21,10065,United Kingdom
INV50025,ITEM_102,Product Description ITEM_102,8,2025-01-26 00:00:00,25.12,10089,Germany
INV50025,ITEM_121,Product Description ITEM_121,10,2025-01-04 00:00:00,80.42,10071,United Kingdom
INV50026,ITEM_143,Product Description ITEM_143,17,2025-07-28 00:00:00,13.16,10009,United Kingdom
INV50026,ITEM_101,Product Description ITEM_101,2,2025-05-10 00:00:00,195.79,10088,United Kingdom
CINV50026,ITEM_123,Product Description ITEM_123,-6,2025-06-07 00:00:00,101.06,10129,Germany
INV50027,ITEM_133,Product Description ITEM_133,5,2025-11-13 00:00:00,112.37,10136,United Kingdom
INV50027,ITEM_126,Product Description ITEM_126,9,2025-01-12 00:00:00,223.66,10063,USA
INV50027,ITEM_140,Product Description ITEM_140,5,2025-01-31 00:00:00,165.37,10139,United Kingdom
INV50028,ITEM_100,Product Description ITEM_100,18,2025-03-27 00:00:00,4.49,10081,United Kingdom
INV50028,ITEM_107,Product Description ITEM_107,20,2025-03-13 00:00:00,235.94,10136,United Kingdom
INV50028,ITEM_122,Product Description ITEM_122,9,2025-01-11 00:00:00,61.19,10033,United Kingdom
